,,,,,,
x,vL0.0399,vel0.0399,vel0.04,"18564668311833500,00",mitjana,
0.55,"9921517287798730,0000000","0,9921517288","0,9903702544","9848075451840990,00","0,9912609916","9912609915700090,0000000"
0.56,"9868653455354620,0000000","0,9868653455","0,9848075452","9791340800549460,00","0,9858364454","9858364453597810,0000000"
5.700.000.000.000.000,"9814899805193300,0000000","0,9814899805","0,9791340801","9733880918269620,00","0,9803120303","9803120302871380,0000000"
0.58,"9761843807652780,0000000","0,9761843808","0,9733880918","9681148040998000,00","0,9747862363","9747862362961200,0000000"
0.59,"9709792076321280,0000000","0,9709792076","0,9681148041","9626639908659140,00","0,9695470059","9695470058659640,0000000"
0.6,"9658905610475190,0000000","0,965890561","0,9626639909","9573080612235550,00","0,9642772760","9642772759567170,0000000"
0.61,"9607059318254900,0000000","0,9607059318","0,9573080612","9524404961746350,00","0,9590069965","9590069965245220,0000000"
0.62,"9558564327043740,0000000","0,9558564327","0,9524404962","9472176642569800,00","0,9541484644","9541484644395040,0000000"
0.63,"9509389082067290,0000000","0,9509389082","0,9472176643","9424207074551730,00","0,9490782862","9490782862318550,0000000"
0.64,"9460354362536430,0000000","0,9460354363","0,9424207075","9377622442372610,00","0,9442280719","9442280718544080,0000000"
0.65,"9415590136862140,0000000","0,9415590137","0,9377622442","9329406331294400,00","0,9396606290","9396606289617380,0000000"
0.66,"9369707926987420,0000000","0,9369707927","0,9329406331","9286321704822490,00","0,9349557129","9349557129140910,0000000"
0.67,"9326922045381420,0000000","0,9326922045","0,9286321705","9242700564461920,00","0,9306621875","9306621875101950,0000000"
0.68,"9281955994743090,0000000","0,9281955995","0,9242700564","9202411716520080,00","0,9262328280","9262328279602510,0000000"
6.900.000.000.000.000,"9244726630149050,0000000","0,924472663","0,9202411717","9160877854562220,00","0,9223569173","9223569173334560,0000000"
7.000.000.000.000.000,"9204730001373760,0000000","0,9204730001","0,9160877855","9123014043998180,00","0,9182803928","9182803927967990,0000000"
0.71,"9166062128905790,0000000","0,9166062129","0,9123014044","9084916977660000,00","0,9144538086","9144538086451990,0000000"
0.72,"9128097548576720,0000000","0,9128097549","0,9084916978","9050685992502400,00","0,9106507263","9106507263118360,0000000"
0.73,"9094345952450980,0000000","0,9094345952","0,9050685993","9014477975961220,00","0,9072515972","9072515972476690,0000000"
0.74,"9060284855194630,0000000","0,9060284855","0,9014477976","8981853002597820,00","0,9037381416","9037381415577930,0000000"
0.75,"9026021256784510,0000000","0,9026021257","0,8981853003","8950939365534390,00","0,9003937130","9003937129691160,0000000"
0.76,"8995348994208340,0000000","0,8995348994","0,8950939366","8919897053581000,00","0,8973144180","8973144179871360,0000000"
0.77,"8965397288248350,0000000","0,8965397288","0,8919897054","8891408848525420,00","0,8942647171","8942647170914680,0000000"
0.78,"8936442146158380,0000000","0,8936442146","0,8891408849","8863272671657140,00","0,8913925497","8913925497341900,0000000"
0.79,"8906545381654900,0000000","0,8906545382","0,8863272672","8837456761806940,00","0,8884909027","8884909026656020,0000000"
0.8,"8880884531860030,0000000","0,8880884532","0,8837456762","8812259670117250,00","0,8859170647","8859170646833490,0000000"
