,,,,,,
,,,,,,
,,,vel04,,,vel035
,0.72,"11167580967213300,00","1,116758097",0.72,"9789791199016030,00","0,9789791199"
,0.73,"11229379300639000,00","1,12293793",0.73,"9759515628756860,00","0,9759515629"
,0.74,"11217502458773200,00","1,121750246",0.74,"9806447427544200,00","0,9806447428"
,0.75,"11223247677191500,00","1,122324768",0.75,"9787247596098760,00","0,9787247596"
,0.76,"11245619505136900,00","1,124561951",0.76,"9794959976231690,00","0,9794959976"
,0.77,"11247789139087200,00","1,124778914",0.77,"9797018691462510,00","0,9797018691"
,0.78,"11271170422468100,00","1,127117042",0.78,"9798335104807460,00","0,9798335105"
,0.79,"11268470212141900,00","1,126847021",0.79,"9819698534193990,00","0,9819698534"
,0.8,"11221837780251600,00","1,122183778",0.8,"9808876232445770,00","0,9808876232"
,0.81,"11216035622819300,00","1,121603562",0.81,"9825534482245640,00","0,9825534482"
,8.200.000.000.000.000,"11204484476938400,00","1,120448448",8.200.000.000.000.000,"9814806939105280,00","0,9814806939"
,8.300.000.000.000.000,"11221650245942300,00","1,122165025",8.300.000.000.000.000,"9830560342669230,00","0,9830560343"
,0.84,"11222823290134100,00","1,122282329",0.84,"9819502653323030,00","0,9819502653"
,0.85,"11222638356703400,00","1,122263836",0.85,"9816609399063910,00","0,9816609399"
,0.86,"11213358532185000,00","1,121335853",0.86,"9819434141437380,00","0,9819434141"
,0.87,"11184677601006100,00","1,11846776",0.87,"9855930762725670,00","0,9855930763"
,0.88,"11141796212321500,00","1,114179621",0.88,"9840880258583150,00","0,9840880259"
,0.89,"11163906093740100,00","1,116390609",0.89,"9872482052473440,00","0,9872482052"
,0.9,"11150450794174500,00","1,115045079",0.9,"9863544667540410,00","0,9863544668"
,0.91,"11185353897724800,00","1,11853539",0.91,"9863736660447230,00","0,986373666"
,0.92,"11157420178749900,00","1,115742018",0.92,"9913910977437770,00","0,9913910977"
,0.93,"11269218816773200,00","1,126921882",0.93,"9826089083789580,00","0,9826089084"
,9.400.000.000.000.000,"11353929826763100,00","1,135392983",9.400.000.000.000.000,"9762135380423740,00","0,976213538"
,9.500.000.000.000.000,"11410424040898400,00","1,141042404",9.500.000.000.000.000,"9747133960521020,00","0,9747133961"
,0.96,"11385416173489100,00","1,138541617",0.96,"9756260649459000,00","0,9756260649"
,0.97,"11358949204874800,00","1,13589492",0.97,"9762802919691260,00","0,976280292"
,0.98,"11308015498959600,00","1,13080155",0.98,"9774978667292740,00","0,9774978667"
,0.99,"11250320873123400,00","1,125032087",0.99,"9816268207788280,00","0,9816268208"
,1,"11256265401439800,00","1,12562654",1,"9817029462460830,00","0,9817029462"
,01.01,"11239247702069800,00","1,12392477",01.01,"9819621893643460,00","0,9819621894"
,01.02,"11252963929620300,00","1,125296393",01.02,"9793647635234090,00","0,9793647635"
,01.03,"11250917157544800,00","1,125091716",01.03,"9855125797255690,00","0,9855125797"
,01.04,"11203397385284100,00","1,120339739",01.04,"9827097579478990,00","0,9827097579"
,01.05,"11176493026023300,00","1,117649303",01.05,"9872170408901830,00","0,9872170409"
,01.06,"11170089058008900,00","1,117008906",01.06,"9890653088880610,00","0,9890653089"
,01.07,"11173735107648100,00","1,117373511",01.07,"9874267661544970,00","0,9874267662"
,01.08,"11223036489851100,00","1,122303649",01.08,"9851169994558030,00","0,9851169995"
,01.09,"11202391237064400,00","1,120239124",01.09,"9832174439796280,00","0,983217444"
,1.1,"11162506117295900,00","1,116250612",1.1,"9860025654812190,00","0,9860025655"
,1.11,"11130588176342600,00","1,113058818",1.11,"9844489289150420,00","0,9844489289"
,1.12,"11142123070068300,00","1,114212307",1.12,"9823395800160180,00","0,98233958"
,11.300.000.000.000.000,"11179709880762300,00","1,117970988",11.300.000.000.000.000,"9813329490124970,00","0,981332949"
,11.400.000.000.000.000,"11226524260473800,00","1,122652426",11.400.000.000.000.000,"9800462326897610,00","0,9800462327"
,11.500.000.000.000.000,"11245295935267500,00","1,124529594",11.500.000.000.000.000,"9788363465091360,00","0,9788363465"
,1.16,"11264681250850400,00","1,126468125",1.16,"9724762341696200,00","0,9724762342"
,1.17,"11270962796780200,00","1,12709628",1.17,"9706906479210080,00","0,9706906479"
,1.18,"11296263923932500,00","1,129626392",1.18,"9760342877581010,00","0,9760342878"
,1.19,"11281602850084700,00","1,128160285",1.19,"9764991917099280,00","0,9764991917"
,1.2,"11292464186613500,00","1,129246419",1.2,"9881133608420790,00","0,9881133608"
,1.21,"11304390591488500,00","1,130439059",1.21,"10006265292093600,00","1,000626529"
,1.22,"11313590152311900,00","1,131359015",1.22,"10032906459984900,00","1,003290646"
,1.23,"11358411414083300,00","1,135841141",1.23,"9913388832751600,00","0,9913388833"
,1.24,"11411316332697000,00","1,141131633",1.24,"9902812302553360,00","0,9902812303"
,1.25,"11399122554470400,00","1,139912255",1.25,"9837787833070800,00","0,9837787833"
,1.26,"11419141048939000,00","1,141914105",1.26,"9834657562198390,00","0,9834657562"
,1.27,"11420145883513000,00","1,142014588",1.27,"9822543671879580,00","0,9822543672"
,1.28,"11377063140164600,00","1,137706314",1.28,"9834383390623980,00","0,9834383391"
,1.29,"11221106244758400,00","1,122110624",1.29,"9858180917536010,00","0,9858180918"
