,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"y=0.04, x=0.0399",,"y=0.06, x=0.0399",,"y=0.05, x=0.0399",,"y=0.035, x=0.0399",,"y=0.06, x=0.04",,"y=0.065, x=0.04",,"y=0.05, x=0.04",
0.23,"16272858947243400,0000000","1,62728589472","5890595366287750,0000000","0,5890595366","11008076813932700,0000000","1,10080768139","16909697493805400,0000000","1,6909697494","16182066416294900,0000000","1,6182066416","16945091622047300,0000000","1,69450916220","11133820965549700,0000000","1,1133820966"
0.24,"16092682537970900,0000000","1,60926825380","5977308774236970,0000000","0,5977308774","10923750744385800,0000000","1,09237507444","16797033266788500,0000000","1,6797033267","16003033331445000,0000000","1,6003033331","16833084442413000,0000000","1,68330844424","11043134533161000,0000000","1,1043134533"
0.25,"15862237604172300,0000000","1,58622376042","6075477918571070,0000000","0,6075477919","10874225028566800,0000000","1,08742250286","16669293183614000,0000000","1,6669293184","15805294014051000,0000000","1,5805294014","16696430714739500,0000000","1,66964307147","10985335189126600,0000000","1,0985335189"
0.26,"15715515238403600,0000000","1,57155152384","6187335033388140,0000000","0,6187335033","10857079144925600,0000000","1,08570791449","16537053314495000,0000000","1,6537053314","15640824917847300,0000000","1,5640824918","16577736769935800,0000000","1,65777367699","10958628799818200,0000000","1,0958628800"
0.27,"15550857991349300,0000000","1,55508579913","6310054101040860,0000000","0,6310054101","10850071078418500,0000000","1,08500710784","16415128024621100,0000000","1,6415128025","15531551486529800,0000000","1,5531551487","16433008755402600,0000000","1,64330087554","10936816944371000,0000000","1,0936816944"
0.28,"15436112439771200,0000000","1,54361124398","6435590605855790,0000000","0,6435590606","10853369840382900,0000000","1,08533698404","16268983953552900,0000000","1,6268983954","15316722290654800,0000000","1,5316722291","16308303427757200,0000000","1,63083034278","10936580025469600,0000000","1,0936580025"
0.29,"15287928785307300,0000000","1,52879287853","6556052179817200,0000000","0,655605218","10857227221213800,0000000","1,08572272212","16130471596460900,0000000","1,6130471596","15216119606187300,0000000","1,5216119606","16131117602438000,0000000","1,61311176024","10926235865802300,0000000","1,0926235866"
0.3,"15180089925216800,0000000","1,51800899252","6688936382470570,0000000","0,6688936382","10863928873473500,0000000","1,08639288735","15959295135535600,0000000","1,5959295136","15064632015235600,0000000","1,5064632015","15992020426356600,0000000","1,59920204264","10933243635833400,0000000","1,0933243636"
0.31,"15040616169408300,0000000","1,50406161694","6813293013398970,0000000","0,6813293013","10874890838423900,0000000","1,08748908384","15810728840354500,0000000","1,5810728840","14933152933496300,0000000","1,4933152933","15839678069343000,0000000","1,58396780693","10940731931088000,0000000","1,0940731931"
0.32,"14906560487881000,0000000","1,49065604879","6936186627031470,0000000","0,6936186627","10890792608098300,0000000","1,08907926081","15654144146747900,0000000","1,5654144147","14791112767046100,0000000","1,4791112767","15674898964446800,0000000","1,56748989644","10947334346651800,0000000","1,0947334347"
0.33,"14772922991107100,0000000","1,47729229911","7057627130436060,0000000","0,705762713","10903335783248600,0000000","1,09033357832","15484479839341800,0000000","1,5484479839","14688064743088300,0000000","1,4688064743","15516144165479500,0000000","1,55161441655","10948321306319400,0000000","1,0948321306"
0.34,"14673351777533900,0000000","1,46733517775","7172326510238550,0000000","0,717232651","10912925849649800,0000000","1,09129258496","15296209184694900,0000000","1,5296209185","14555927156306500,0000000","1,4555927156","15339648849936400,0000000","1,53396488499","10947147714740900,0000000","1,0947147715"
35.000.000.000.000.000,"14537196309636600,0000000","1,45371963096","7284186257671080,0000000","0,7284186258","10919533356955900,0000000","1,09195333570","15111433066468800,0000000","1,5111433066","14440734511828700,0000000","1,4440734512","15178271999273900,0000000","1,51782719993","10947391602454700,0000000","1,0947391602"
0.36,"14397341717356700,0000000","1,43973417174","7386675633987290,0000000","0,7386675634","10923219783291500,0000000","1,09232197833","14937571661922400,0000000","1,4937571662","14315882469819300,0000000","1,4315882470","14973073799139800,0000000","1,49730737991","10942559723642000,0000000","1,0942559724"
0.37,"14264769073103700,0000000","1,42647690731","7491753133319860,0000000","0,7491753133","10922434395206200,0000000","1,09224343952","14736438341744900,0000000","1,4736438342","14156718637778800,0000000","1,4156718638","14796856489254100,0000000","1,47968564893","10930404903060500,0000000","1,0930404903"
0.38,"14119346572930700,0000000","1,41193465729","7585951824138320,0000000","0,7585951824","10916949475223200,0000000","1,09169494752","14531881862455600,0000000","1,4531881862","14013218567337800,0000000","1,4013218567","14592743558367000,0000000","1,45927435584","10920606468430800,0000000","1,0920606468"
0.39,"13973658241036200,0000000","1,39736582410","7676513306465760,0000000","0,7676513306","10905719596036400,0000000","1,09057195960","14334372999567300,0000000","1,4334373000","13859077635036200,0000000","1,3859077635","14395364971583600,0000000","1,43953649716","10902310420277100,0000000","1,0902310420"
0.4,"13832469931701700,0000000","1,38324699317","7757660335152810,0000000","0,7757660335","10890880118210300,0000000","1,08908801182","14139840213087400,0000000","1,4139840213","13725865254790200,0000000","1,3725865255","14190206706768400,0000000","1,41902067068","10883266472041200,0000000","1,0883266472"
41.000.000.000.000.000,"13670159939895400,0000000","1,36701599399","7833964398269880,0000000","0,7833964398","10869375658078900,0000000","1,08693756581","13942650394314300,0000000","1,3942650394","13567803690987800,0000000","1,3567803691","13990250218362500,0000000","1,39902502184","10857304608880400,0000000","1,0857304609"
0.42,"13501777034853300,0000000","1,35017770349","7904730288360700,0000000","0,7904730288","10844355853410600,0000000","1,08443558534","13754530144737700,0000000","1,3754530145","13408828269269400,0000000","1,3408828269","13792614372391000,0000000","1,37926143724","10828281189740600,0000000","1,0828281190"
0.43,"13345144953525000,0000000","1,33451449535","7968609550163030,0000000","0,796860955","10813532600457700,0000000","1,08135326005","13541954107232500,0000000","1,3541954107","13257598940870000,0000000","1,3257598941","13593880960722400,0000000","1,35938809607","10792132654668400,0000000","1,0792132655"
0.44,"13210027229350900,0000000","1,32100272294","8027581783010560,0000000","0,8027581783","10779169820658900,0000000","1,07791698207","13356877137140800,0000000","1,3356877137","13105192596889400,0000000","1,3105192597","13424848271463000,0000000","1,34248482715","10751621932218400,0000000","1,0751621932"
0.45,"13041205102360400,0000000","1,30412051024","8078693166082340,0000000","0,8078693166","10738845226565800,0000000","1,07388452266","13159162211392600,0000000","1,3159162211","12954720034863700,0000000","1,2954720035","13237605237082700,0000000","1,32376052371","10709005580660700,0000000","1,0709005581"
0.46,"12875618463237700,0000000","1,28756184632","8126111790209280,0000000","0,812611179","10694590763888800,0000000","1,06945907639","12986708391120700,0000000","1,2986708391","12784619968480600,0000000","1,2784619968","13055836122511300,0000000","1,30558361225","10661616943429900,0000000","1,0661616943"
47.000.000.000.000.000,"12696798676370400,0000000","1,26967986764","8167715516303270,0000000","0,8167715516","10647414072383600,0000000","1,06474140724","12822435098367900,0000000","1,2822435098","12637525358166400,0000000","1,2637525358","12874429327482100,0000000","1,28744293275","10612195681741300,0000000","1,0612195682"
